id,posto_id,tipo,valor,created_at,updated_at
55,55,GASOLINA ADITIVADA,"R$ 3,99",2020-05-15 18:06:15+00,2020-06-11 00:11:56+00
832,264,GASOLINA COMUM,"R$ 4,63",2020-06-04 19:21:45+00,2020-06-27 05:56:27+00
829,256,GASOLINA ADITIVADA,"R$ 4,63",2020-06-04 19:21:45+00,2020-06-27 05:56:27+00
825,260,GASOLINA ADITIVADA,"R$ 4,70",2020-06-04 16:21:44+00,2020-06-27 05:56:27+00
833,264,GASOLINA ADITIVADA,"R$ 4,75",2020-06-04 19:21:45+00,2020-06-27 05:56:27+00
1024,309,GASOLINA ADITIVADA,"R$ 4,25",2020-06-08 09:51:46+00,2020-07-08 03:51:24+00
1147,306,GASOLINA ADITIVADA,"R$ 3,69",2020-07-04 15:21:40+00,2020-07-08 05:04:38+00
328,47,OLEO DIESEL BICO,"R$ 2,66",2020-05-17 20:25:20+00,2020-05-17 20:25:20+00
408,107,DIESEL BS,"R$ 3,09",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
406,105,DIESEL BS,"R$ 3,09",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
429,128,DIESEL BS,"R$ 3,09",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
79,12,ETANOL,"R$ 3,20",2020-05-13 12:06:29+00,2020-07-13 00:21:49+00
438,136,DIESEL B S500 COMUM,"R$ 3,16",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
467,159,OLEO DIESEL B S,"R$ 3,19",2020-05-21 18:31:01+00,2020-06-27 10:16:51+00
411,110,DIESEL B S10 COMUM,"R$ 3,20",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
982,304,GASOLINA ADITIVADA,"R$ 4,20",2020-06-04 23:04:30+00,2020-07-08 05:04:39+00
444,141,OLEO DIESEL S10 BICO,"R$ 3,22",2020-05-21 18:31:01+00,2020-06-27 10:16:51+00
92,25,ETANOL,"R$ 3,20",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
150,87,ETANOL,"R$ 3,20",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
1081,315,DIESEL MARITIMO,"R$ 3,22",2020-06-10 21:56:50+00,2020-06-27 10:16:51+00
1087,301,GASOLINA ADITIVADA,"R$ 4,20",2020-06-11 20:04:30+00,2020-07-08 05:04:39+00
147,85,ETANOL,"R$ 3,22",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
136,61,ETANOL,"R$ 3,23",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
127,57,ETANOL,"R$ 3,23",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
131,62,ETANOL,"R$ 3,23",2020-05-13 21:06:30+00,2020-07-13 00:21:49+00
1001,303,OLEO DIESEL B S,"R$ 3,19",2020-06-04 20:26:31+00,2020-07-08 05:26:39+00
745,232,GNV,"R$ 2,99",2020-05-28 09:17:48+00,2020-06-30 14:00:10+00
740,152,GNV,"R$ 2,99",2020-05-28 09:17:48+00,2020-06-30 14:00:10+00
746,162,GNV,"R$ 3,02",2020-05-28 09:17:48+00,2020-06-30 14:00:10+00
1006,300,DIESEL S10 BICO,"R$ 3,25",2020-06-04 20:26:31+00,2020-07-08 05:26:39+00
332,70,DIESEL S10 BICO,"R$ 3,24",2020-05-16 11:25:20+00,2020-07-08 00:31:54+00
1148,301,DIESEL B S,"R$ 3,26",2020-07-08 05:26:39+00,2020-07-08 05:26:39+00
134,76,ETANOL,"R$ 3,23",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
198,65,OLEO DIESEL B S10 BICO,"R$ 3,25",2020-05-13 09:07:14+00,2020-07-13 00:31:50+00
252,81,DIESEL S,"R$ 3,27",2020-05-14 00:07:15+00,2020-07-13 00:31:50+00
212,94,OLEO DIESEL B S10 COMUM,"R$ 2,80",2020-05-15 09:07:14+00,2020-06-20 12:31:56+00
660,118,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
710,162,ETANOL,"R$ 3,29",2020-05-28 13:20:52+00,2020-06-19 10:46:48+00
1128,144,ETANOL,"R$ 3,29",2020-06-19 10:46:48+00,2020-06-19 10:46:48+00
316,65,GASOLINA COMUM,"R$ 4,20",2020-05-13 18:17:23+00,2020-07-13 00:11:53+00
870,273,DIESEL B S500 BICO,"R$ 3,19",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
63,63,GASOLINA ADITIVADA,"R$ 3,86",2020-05-15 18:06:16+00,2020-05-21 15:38:32+00
10,10,GASOLINA ADITIVADA,"R$ 3,90",2020-05-15 18:06:15+00,2020-05-21 15:38:32+00
691,151,ETANOL,"R$ 3,29",2020-05-28 13:20:52+00,2020-06-19 10:46:48+00
353,84,GASOLINA COMUM,"R$ 4,26",2020-05-21 03:38:33+00,2020-06-20 12:11:59+00
352,84,GASOLINA ADITIVADA,"R$ 4,26",2020-05-21 03:38:32+00,2020-06-20 12:11:59+00
868,267,DIESEL S,"R$ 3,22",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
879,279,DIESEL S,"R$ 3,23",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
52,52,GASOLINA ADITIVADA,"R$ 4,26",2020-05-14 09:06:15+00,2020-06-30 00:12:01+00
480,171,DIESEL S10 COMUM,"R$ 3,05",2020-05-21 18:31:01+00,2020-06-27 10:16:50+00
345,59,GASOLINA COMUM,"R$ 3,99",2020-05-21 15:38:32+00,2020-06-11 00:11:56+00
299,41,GASOLINA COMUM,"R$ 4,23",2020-05-14 21:17:23+00,2020-07-12 00:11:57+00
289,32,GASOLINA COMUM,"R$ 4,23",2020-05-15 15:17:23+00,2020-07-07 00:11:58+00
963,284,GASOLINA COMUM,"R$ 4,19",2020-06-04 18:51:23+00,2020-07-12 03:51:24+00
865,269,OLEO DIESEL B S,"R$ 3,24",2020-06-03 21:05:33+00,2020-07-08 03:05:36+00
269,43,GASOLINA COMUM,"R$ 4,20",2020-05-13 12:17:23+00,2020-07-13 00:11:53+00
968,290,GASOLINA ADITIVADA,"R$ 4,25",2020-06-02 09:51:24+00,2020-07-12 03:51:24+00
284,11,GASOLINA COMUM,"R$ 4,23",2020-05-13 18:17:23+00,2020-07-13 00:11:53+00
872,273,OLEO DIESEL S10 BICO,"R$ 3,25",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
969,295,GASOLINA ADITIVADA,"R$ 4,25",2020-06-02 18:51:24+00,2020-07-12 03:51:24+00
844,259,OLEO DIESEL B S500 BICO,"R$ 3,08",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
334,82,OLEO DIESEL B S,"R$ 2,79",2020-05-17 20:25:20+00,2020-05-23 18:03:50+00
340,82,GASOLINA COMUM,"R$ 4,23",2020-05-17 17:25:21+00,2020-07-08 00:11:56+00
882,278,DIESEL COMUM BICO,"R$ 3,27",2020-06-04 12:05:33+00,2020-07-08 03:05:37+00
347,88,GASOLINA COMUM,"R$ 3,69",2020-05-21 15:38:32+00,2020-05-21 15:38:32+00
32,32,GASOLINA ADITIVADA,"R$ 3,72",2020-05-15 18:06:15+00,2020-05-21 15:38:32+00
348,88,GASOLINA ADITIVADA,"R$ 3,76",2020-05-21 15:38:32+00,2020-05-21 15:38:32+00
27,27,GASOLINA ADITIVADA,"R$ 3,76",2020-05-15 18:06:15+00,2020-05-21 15:38:32+00
34,34,GASOLINA ADITIVADA,"R$ 3,77",2020-05-15 18:06:15+00,2020-05-21 15:38:32+00
483,174,DIESEL ADITIVADO S,"R$ 3,09",2020-05-21 18:31:02+00,2020-06-27 10:16:51+00
847,257,DIESEL B S500 COMUM,"R$ 3,15",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
846,256,DIESEL B S500 COMUM,"R$ 3,15",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
342,83,GASOLINA ADITIVADA,"R$ 3,99",2020-05-17 20:25:21+00,2020-06-11 00:11:56+00
349,79,GASOLINA COMUM,"R$ 3,60",2020-05-21 15:38:32+00,2020-05-21 18:00:32+00
845,258,DIESEL B S,"R$ 3,18",2020-06-04 16:28:34+00,2020-06-27 05:36:20+00
883,277,OLEO DIESEL B S10 BICO,"R$ 3,29",2020-06-04 12:05:33+00,2020-07-08 03:05:37+00
341,82,GASOLINA ADITIVADA,"R$ 3,66",2020-05-17 20:25:21+00,2020-05-21 18:00:32+00
848,259,OLEO DIESEL BS 10 BICO,"R$ 3,18",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
919,280,GASOLINA COMUM,"R$ 4,18",2020-06-02 18:21:38+00,2020-07-12 05:04:25+00
854,260,SHELL EVOLUX DIESEL S10 ADITIVADO BICO,"R$ 3,26",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
884,275,OLEO DIESEL B S10 BICO,"R$ 3,29",2020-06-04 12:05:33+00,2020-07-08 03:05:37+00
599,83,OLEO DIESEL B S,"R$ 2,89",2020-05-23 18:03:51+00,2020-06-02 12:31:49+00
484,172,OLEO DIESEL S10 ADITIVADO BICO,"R$ 3,09",2020-05-21 21:31:02+00,2020-05-21 21:31:02+00
485,162,OLEO DIESEL B S10 ADIT PETROBRAS GRID,"R$ 3,09",2020-05-21 18:31:02+00,2020-06-27 10:16:51+00
855,264,OLEO DIESEL B S500 ORIGINAL BICO,"R$ 3,27",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
800,249,ETANOL,"R$ 2,70",2020-06-02 12:46:48+00,2020-06-02 12:46:48+00
856,264,DIESEL B S10 BICO,"R$ 3,37",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
763,199,GASOLINA ADITIVADA,"R$ 4,26",2020-06-01 22:04:23+00,2020-06-19 10:36:54+00
1129,236,SHELL EVOLUX DIESEL S10 ADITIVADO BICO,"R$ 3,09",2020-06-19 09:31:55+00,2020-06-20 00:31:50+00
