id,nome,endereco,contato,status,cidade,latitude,longitude,url,bandeira,created_at,updated_at
69,POSTO JACUIPE,"RUA ARIVALDO DE CARVALHO 000011 SOBRADINHO 44021225, FEIRA DE SANTANA",7532213201,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2425743,-38.9711869,https://goo.gl/maps/ttPXUE7pQyGUB35k7,outros,2020-05-15 18:06:30+00,2020-05-18 19:58:58+00
70,POSTO 2001,"AVENIDA PRESIDENTE DUTRA - LADO IMPAR 128 CENTRO 44001615, FEIRA DE SANTANA",7532210143,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2596139,-38.9637025,https://goo.gl/maps/Vn2zn3r3chueNAna9,outros,2020-05-15 18:06:30+00,2020-05-18 20:00:14+00
71,POSTO JOMAFA,"RUA SENADOR QUINTINO 3090 TOMBA 44090001, FEIRA DE SANTANA",7530210261,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2827148,-38.948275,https://goo.gl/maps/oSvSS2HodH35LK6F8,outros,2020-05-15 18:06:30+00,2020-05-18 20:01:15+00
72,REDE ATENDBEM,"AVENIDA GETULIO VARGAS 2838 PARQ. GETULIO VARGAS 44076684, FEIRA DE SANTANA",7536169361,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2559673,-38.9385538,https://goo.gl/maps/eQbgaXbvJUs3SCFm6,ipiranga,2020-05-15 18:06:30+00,2020-05-18 20:03:10+00
73,POSTO SERVE BEM 2,"RUA SENADOR QUINTINO 2070 BRASILIA 44088720, FEIRA DE SANTANA",7536038797,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2755937,-38.9556645,https://goo.gl/maps/T6pkSmPmWSwZyewM9,ipiranga,2020-05-15 18:06:30+00,2020-05-18 20:04:13+00
74,POSTO-CIS TOMBA,"AVENIDA DEPUTADO COLBERT MARTINS DA SILVA S/N TOMBA 44091002, FEIRA DE SANTANA",7536160372,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2904427,-38.9590637,https://goo.gl/maps/7yuWtdDrfpedDZK17,shell,2020-05-15 18:06:30+00,2020-05-18 20:05:16+00
75,POSTO GASAUTO,"AVENIDA DEPUTADO COLBERT MARTINS DA SILVA 103 TOMBA 44091002, FEIRA DE SANTANA",7599991539,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2882463,-38.9538011,https://goo.gl/maps/fYVFCAbGp1cuZCK59,shell,2020-05-15 18:06:30+00,2020-05-18 20:06:14+00
76,BRASINHA CENTRO COMERCIO DE COMBUSTIVEIS E PECUARIA LTD,"RUA MONS MARIO PESSOA S/N CENTRO 44010440, FEIRA DE SANTANA",7536029630,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,outros,2020-05-15 18:06:30+00,2020-05-18 20:07:35+00
77,SERV BEM,"RODOVIA BR 324 S/N SEDE 44230000, AMÉLIA RODRIGUES",7541411458,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,outros,2020-05-15 18:06:30+00,2020-05-18 20:09:35+00
1,POSTO SAO GONCALO 4,"RODOVIA BR 324 S/N HUMILDES (FEIRA DE SANTANA) 44135000, FEIRA DE SANTANA",7536831628,"há 2 hora(s), 7 minuto(s) e 46 segundo(s)",Feira de Santana,-12.3421572,-38.8671744,https://goo.gl/maps/EoU8w2M25CF5Re5X8,petrobras,2020-05-15 18:06:14+00,2020-05-18 16:26:53+00
3,POSTO ROSEIRA,"RODOVIA BR 324 S/N LIMOEIRO DO BOM VIVER 44137000, FEIRA DE SANTANA",7536140710,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.3090781,-38.9075504,https://goo.gl/maps/4F8hS96gkSvU7hob7,outros,2020-05-15 18:06:15+00,2020-05-18 16:32:33+00
6,POSTO SAO GONCALO 9,"ESTRADA DO CALUNDU S/N LAGOA SALGADA 44083624, FEIRA DE SANTANA",7530213030,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.27113029,-38.903631,https://goo.gl/maps/2KSeatuaaozdN1Yw9,outros,2020-05-15 18:06:15+00,2020-05-18 16:44:26+00
11,POSTO CIDADE,"RUA ITAUEIRA 444 CASEB 44042240, FEIRA DE SANTANA",7532216181,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2561045,-38.9332489,https://goo.gl/maps/Hr5AyyCmWH4PVXSY7,shell,2020-05-15 18:06:15+00,2020-05-18 16:59:51+00
12,POSTO TRES MARIAS,"RUA BARTOLOMEU DE GUSMAO 1300 SOBRADINHO 44021205, FEIRA DE SANTANA",7532241155,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,outros,2020-05-15 18:06:15+00,2020-05-18 17:07:15+00
13,POSTO JOAO DURVAL,"RUA DOUTOR ARAUJO PINHO 2030 OLHOS D ÁGUA 44003456, FEIRA DE SANTANA",7132715277,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2764239,-38.9569958,https://goo.gl/maps/d1Yh85vdCQykRT6B9,shell,2020-05-15 18:06:15+00,2020-05-18 17:09:28+00
14,POSTO GETULIO VARGAS,"AVENIDA GUTULIO VARGAS 1839 CAPUCHINHOS 44050000, FEIRA DE SANTANA",,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2559569,-38.9472459,https://goo.gl/maps/EP29Nx8r3oE4W3gD9,menor,2020-05-15 18:06:15+00,2020-05-18 17:10:29+00
15,POSTO MARIA QUITERIA,"AVENIDA MARIA QUITERIA 3208 QUEIMADINHA 44050368, FEIRA DE SANTANA",7536124200,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2399582,-38.9540546,https://goo.gl/maps/tNsftzSdWPj5ZhZy9,menor,2020-05-15 18:06:15+00,2020-05-18 17:11:40+00
